host_age_auto_id,geol_min_occ_id,host_age
1,1,"Lower Devonian to Upper Silurian"
2,2,"Lower Devonian to Upper Silurian"
3,13,"Jurassic (1)"
4,14,Mesoproterozoic
5,15,"Mesoproterozoic (1)"
6,16,"Mesoproterozoic (1)"
7,17,"Mesoproterozoic (1)"
8,18,"Mesoproterozoic (1)"
9,19,"Mesoproterozoic (1)"
10,20,"Mesoproterozoic (1)"
11,21,Precambrian
12,22,"Late Ordovician"
13,23,"Late Ordovician"
14,24,Paleoproterozoic
15,24,Paleoproterozoic
16,25,Paleoproterozoic
17,25,Paleoproterozoic
18,26,Paleoproterozoic
19,28,"1.1 Ga"
20,29,"1.1 Ga"
21,30,"1.1 Ga"
22,31,"1.1 Ga"
23,39,"Upper Cambrian"
24,40,"Upper Cambrian"
25,41,"Precambrian (1)"
26,42,Mesoproterozoic
27,43,Mesoproterozoic
28,44,Mesoproterozoic
29,46,Precambrian
30,47,"157 Ma"
31,48,Jurassic
32,50,Cambrian
33,50,Triassic
34,51,"Late Cretaceous-Early Tertiary"
35,52,"Late Cretaceous-Early Tertiary"
36,53,"Late Cretaceous-Early Tertiary"
37,54,"Late Cretaceous-Early Tertiary"
38,55,"Late Cretaceous-Early Tertiary"
39,56,"Late Cretaceous-Early Tertiary"
40,57,"Late Cretaceous-Early Tertiary"
41,58,Precambrian
