min_age_auto_id,geol_min_occ_id,min_age
1,1,Devonian
2,2,Devonian
3,14,"110 +/- 3 (1)"
4,14,"92 +/- 5 (1)"
5,15,"110 +/- 3 (2)"
6,15,"92 +/- 5 (2)"
7,16,"110 +/- 3 (2)"
8,16,"92 +/- 5 (2)"
9,17,"110 +/- 3 (2)"
10,17,"92 +/- 5 (2)"
11,18,"110 +/- 3 (2)"
12,18,"92 +/- 5 (2)"
13,19,"110 +/- 3 (2)"
14,19,"92 +/- 5 (2)"
15,20,"110 +/- 3 (2)"
16,20,"92 +/- 5 (2)"
17,24,"1107.2 +/- 5.7 Ma (1)"
18,24,"1107.2 +/- 5.7 Ma (1)"
19,25,"1107.2 +/- 5.7 Ma (1)"
20,25,"1107.2 +/- 5.7 Ma (1)"
21,26,"1107.2 +/- 5.7 Ma (1)"
22,42,"Proterozoic (1)"
23,43,"Proterozoic (1)"
24,44,"Proterozoic (1)"
25,46,"65.3 +/- 1.2 Ma (1)"
26,49,"Early Tertiary"
27,50,"194 +/- 4 Ma (1)"
28,58,Devonian
