geo_env_id,gem_name,gem_refid,remarks
1,Unclassified,NULL,NULL
2,Unclassified,NULL,NULL
3,"Magmatic Sulfides","du Bray (1995)",NULL
4,"Magmatic Sulfides","du Bray (1995)",NULL
5,"Magmatic Sulfides","du Bray (1995)",NULL
6,"Magmatic Sulfides","du Bray (1995)",NULL
7,"Magmatic Sulfides","du Bray (1995)",NULL
8,"Magmatic Sulfides","du Bray (1995)",NULL
9,"Magmatic Sulfides","du Bray (1995)",NULL
10,"Magmatic Sulfides","du Bray (1995)",NULL
11,"Magmatic Sulfides","du Bray (1995)",NULL
12,Unclassified,NULL,NULL
13,NULL,NULL,NULL
14,NULL,NULL,NULL
15,NULL,NULL,NULL
16,NULL,NULL,NULL
17,NULL,NULL,NULL
18,NULL,NULL,NULL
19,NULL,NULL,NULL
20,NULL,NULL,NULL
21,NULL,NULL,NULL
22,NULL,NULL,NULL
23,NULL,NULL,NULL
24,NULL,NULL,NULL
25,NULL,NULL,NULL
26,"Blackbird Co-Cu","du Bray (1995)",NULL
27,"Magmatic Sulfides","Foose and others (1995)",NULL
28,"Magmatic Sulfides","Foose and others (1995)",NULL
29,"Magmatic Sulfides","du Bray (1995)",NULL
30,"Magmatic Sulfides","du Bray (1995)",NULL
31,"Magmatic Sulfides","du Bray (1995)",NULL
32,NULL,NULL,NULL
33,NULL,NULL,NULL
34,NULL,NULL,NULL
35,NULL,NULL,NULL
36,"Magmatic Sulfides","du Bray (1995)",NULL
37,"Magmatic Sulfides","du Bray (1995)",NULL
38,"Magmatic Sulfides","du Bray (1995)",NULL
39,"Magmatic Sulfides","du Bray (1995)",NULL
40,"Magmatic Sulfides","du Bray (1995)",NULL
41,"Magmatic Sulfides","du Bray (1995)",NULL
42,"Magmatic Sulfides","du Bray (1995)",NULL
43,"Mississippi Valley Type Pb-Zn","Leach and others (1995)",NULL
44,"Mississippi Valley Type Pb-Zn","du Bray (1995)",NULL
45,Unclassified,NULL,NULL
46,NULL,NULL,NULL
47,NULL,NULL,NULL
48,NULL,NULL,NULL
49,Unclassified,NULL,NULL
50,Unclassified,NULL,NULL
51,"Volcanic Hosted Massive Sulfides","du Bray (1995)",NULL
52,Unclassified,NULL,NULL
53,Unclassified,NULL,NULL
54,"Fe Skarns","du Bray (1995)",NULL
55,NULL,NULL,NULL
56,NULL,NULL,NULL
57,NULL,NULL,NULL
58,NULL,NULL,NULL
59,NULL,NULL,NULL
60,NULL,NULL,NULL
61,NULL,NULL,NULL
62,NULL,NULL,NULL
