loc_poly_id,site_id,ftr_id,last_updt,area_sqkm,area_acres,remarks
1,AK00206,Mr00144,4/13/2018,10359,"2559671",NULL
2,AK00017,Mr00061,6/21/2018,9934,"2454712",NULL
3,AK00012,Mo00550,6/7/2018,<1,"247",NULL
4,AK00012,Mo00571,6/7/2018,<1,"185",NULL
5,AK00205,Mo00736,4/13/2018,<1,"2",NULL
6,AK00205,Mo00731,4/13/2018,<1,"1",NULL
7,AK00205,Mo00729,4/13/2018,<1,"<1",NULL
8,AK00205,Mo00734,4/13/2018,<1,"<1",NULL
9,AK00205,Mo00733,4/13/2018,<1,"<1",NULL
10,AK00205,Mo00732,4/13/2018,<1,"<1",NULL
11,AK00205,Mo00730,4/13/2018,<1,"<1",NULL
12,AK00205,Mo00735,4/13/2018,<1,"<1",NULL
13,CA00070,Mo00761,4/23/2018,<1,"106",NULL
14,ID00054,Mr00145,4/16/2018,463,"114366",NULL
15,ID00051,Mo00753,4/19/2018,<1,"177",NULL
16,ID00051,Mo00751,4/19/2018,<1,"132",NULL
17,ID00050,Mo00716,4/3/2018,<1,"70",NULL
18,ID00051,Mo00752,4/19/2018,<1,"26",NULL
19,ID00051,Mo00750,4/19/2018,<1,"11",NULL
20,MI00001,Mo00363,8/31/2017,<1,"28",NULL
21,MI00001,Mo00362,8/31/2017,<1,"12",NULL
22,MN00003,Mo00721,4/10/2018,9,"2150",NULL
23,MN00003,Mo00719,4/10/2018,3,"619",NULL
24,MN00002,Mo00746,4/16/2018,2,"486",NULL
25,MN00003,Mo00722,4/10/2018,2,"422",NULL
26,MN00003,Mo00720,4/10/2018,1,"262",NULL
27,MO00001,Mr00036,6/7/2018,145,"35752",NULL
28,MO00001,Mr00036,6/21/2018,145,"35752",NULL
29,MT00029,Mr00148,4/19/2018,2166,"535135",NULL
30,MT00002,Mo00754,4/19/2018,<1,"124",NULL
31,MT00002,Mo00755,4/19/2018,<1,"76",NULL
32,MT00002,Mo00758,4/19/2018,<1,"68",NULL
33,MT00002,Mo00756,4/19/2018,<1,"34",NULL
34,MT00002,Mo00757,4/19/2018,<1,"20",NULL
35,MT00002,Mo00759,4/19/2018,<1,"12",NULL
36,MT00002,Mo00760,4/19/2018,<1,"6",NULL
37,NM00042,Mr00154,5/25/2018,64,"15762",NULL
38,OR00002,Mr00155,6/26/2018,5,"1230",NULL
39,OR00005,Mo00767,4/26/2018,<1,"204",NULL
40,OR00001,Mo00748,4/17/2018,<1,"<1",NULL
41,PA00001,Mo00749,4/18/2018,<1,"31",NULL
42,PR00001,Mo00629,7/17/2018,9,"2335",NULL
43,PR00003,Mo00631,7/17/2018,5,"1295",NULL
44,PR00004,Mo00632,7/17/2018,1,"306",NULL
45,PR00005,Mo00634,7/17/2018,<1,"228",NULL
46,PR00005,Mo00635,7/17/2018,<1,"105",NULL
47,PR00004,Mo00633,7/17/2018,<1,"78",NULL
48,PR00002,Mo00630,7/17/2018,<1,"71",NULL
49,TN00001,Mr00037,5/11/2018,179,"44257",NULL
