loc_pt_id,site_id,ftr_id,last_updt,ftr_group,ftr_type,pt_def,poly_def,state,county,loc_scale,loc_date,reference_id,loc_poly,remarks
1,AK00012,Mo00550,6/7/2018,"Mineral Occurrence",Deposit,"Approximate center of polygon","Approximate zone defined on image",AK,"Northwest Arctic","Large (>1:24,000)",2013,31,0,NULL
2,AK00012,Mo00571,6/7/2018,"Mineral Occurrence",Deposit,"Approximate center of polygon","Approximate zone defined on image",AK,"Northwest Arctic","Large (>1:24,000)",2013,31,0,NULL
3,AK00017,Mr00061,6/21/2018,"Mineral Region","Mining District","Approximate center of polygon","Mining district boundary",AK,"Northwest Arctic","Small (<1:250,000)",2017,2,0,NULL
4,AK00205,Mo00729,4/13/2018,"Mineral Occurrence",Deposit,"Approximate center of polygon","Outline of sulfide-bearing body",AK,Hoonah-Argoon,"Large (>1:24,000)",1942,94,0,NULL
5,AK00205,Mo00730,4/13/2018,"Mineral Occurrence",Deposit,"Approximate center of polygon","Outline of sulfide-bearing body",AK,Hoonah-Argoon,"Large (>1:24,000)",1942,94,0,NULL
6,AK00205,Mo00731,4/13/2018,"Mineral Occurrence",Deposit,"Approximate center of polygon","Outline of sulfide-bearing body",AK,Hoonah-Argoon,"Large (>1:24,000)",1942,94,0,NULL
7,AK00205,Mo00732,4/13/2018,"Mineral Occurrence",Deposit,"Approximate center of polygon","Outline of sulfide-bearing body",AK,Hoonah-Argoon,"Large (>1:24,000)",1942,94,0,NULL
8,AK00205,Mo00733,4/13/2018,"Mineral Occurrence",Deposit,"Approximate center of polygon","Outline of sulfide-bearing body",AK,Hoonah-Argoon,"Large (>1:24,000)",1942,94,0,NULL
9,AK00205,Mo00734,4/13/2018,"Mineral Occurrence",Deposit,"Approximate center of polygon","Outline of sulfide-bearing body",AK,Hoonah-Argoon,"Large (>1:24,000)",1942,94,0,NULL
10,AK00205,Mo00735,4/13/2018,"Mineral Occurrence",Deposit,"Approximate center of polygon","Outline of sulfide-bearing body",AK,Hoonah-Argoon,"Large (>1:24,000)",1942,94,0,NULL
11,AK00205,Mo00736,4/13/2018,"Mineral Occurrence",Deposit,"Approximate center of polygon","Outline of sulfide-bearing body",AK,Hoonah-Argoon,"Large (>1:24,000)",1942,94,0,NULL
12,AK00206,Mr00144,4/13/2018,"Mineral Region","Mining District","Approximate center of polygon","Mining district boundary",AK,"Hoonah-Argoon; Sitka",NULL,2006,1,0,NULL
