loc_pt_commodity_auto_id,loc_pt_id,commodity
1,1,cobalt
2,1,copper
3,2,cobalt
4,2,copper
5,3,copper
6,3,cobalt
7,4,copper
8,4,nickel
9,4,cobalt
10,5,copper
11,5,nickel
12,5,cobalt
13,6,copper
14,6,nickel
15,6,cobalt
16,7,copper
17,7,nickel
18,7,cobalt
19,8,copper
20,8,nickel
21,8,cobalt
22,9,copper
23,9,nickel
24,9,cobalt
25,10,copper
26,10,nickel
27,10,cobalt
28,11,copper
29,11,nickel
30,11,cobalt
31,12,copper
32,12,nickel
33,12,cobalt
34,13,copper
35,13,nickel
36,13,cobalt
37,14,cobalt
38,14,nickel
39,15,chromium
40,15,nickel
41,15,cobalt
42,16,silver
43,16,gold
44,16,copper
45,16,cobalt
46,17,silver
47,17,gold
48,17,copper
49,17,cobalt
50,18,copper
51,18,gold
52,18,cobalt
53,19,copper
54,19,gold
55,19,cobalt
56,20,iron
57,20,cobalt
58,20,copper
59,21,iron
60,21,cobalt
61,21,copper
62,22,cobalt
63,22,copper
64,23,iron
65,23,cobalt
66,23,copper
67,24,silver
68,24,gold
69,24,cobalt
70,24,copper
71,25,iron
72,25,silver
73,25,gold
74,25,cobalt
75,25,copper
76,26,copper
77,26,nickel
78,26,cobalt
79,27,nickel
80,27,cobalt
81,28,palladium
82,28,platinum
83,28,silver
84,28,gold
85,28,cobalt
86,28,copper
87,28,nickel
88,29,palladium
89,29,platinum
90,29,silver
91,29,gold
92,29,cobalt
93,29,copper
94,29,nickel
95,30,palladium
96,30,platinum
97,30,silver
98,30,gold
99,30,cobalt
100,30,copper
101,30,nickel
102,31,silver
103,31,cobalt
104,31,gold
105,31,palladium
106,31,platinum
107,31,nickel
108,31,copper
109,32,gold
110,32,palladium
111,32,platinum
112,32,nickel
113,32,copper
114,33,cobalt
115,33,silver
116,33,gold
117,33,palladium
118,33,platinum
119,33,nickel
120,33,copper
121,34,cobalt
122,34,silver
123,34,gold
124,34,palladium
125,34,platinum
126,34,nickel
127,34,copper
128,35,nickel
129,35,copper
130,36,cobalt
131,37,gold
132,37,palladium
133,37,platinum
134,37,cobalt
135,37,copper
136,37,nickel
137,38,gold
138,38,palladium
139,38,platinum
140,38,cobalt
141,38,copper
142,38,nickel
143,39,gold
144,39,palladium
145,39,platinum
146,39,cobalt
147,39,copper
148,39,nickel
149,40,gold
150,40,palladium
151,40,platinum
152,40,cobalt
153,40,copper
154,40,nickel
155,41,gold
156,41,palladium
157,41,platinum
158,41,cobalt
159,41,copper
160,41,nickel
161,42,gold
162,42,palladium
163,42,platinum
164,42,cobalt
165,42,copper
166,42,nickel
167,43,gold
168,43,palladium
169,43,platinum
170,43,cobalt
171,43,copper
172,43,nickel
173,44,iron
174,44,nickel
175,44,lead
176,44,copper
177,44,cobalt
178,45,zinc
179,45,nickel
180,45,copper
181,45,cobalt
182,46,iron
183,46,"nickel cobalt"
184,46,copper
185,46,lead
186,47,silver
187,47,iron
188,47,"nickel cobalt"
189,47,copper
190,47,lead
191,48,iron
192,48,cobalt
193,48,copper
194,49,barite
195,49,silver
196,49,gold
197,49,copper
198,49,cobalt
199,50,zinc
200,50,lead
201,50,barite
202,50,silver
203,50,gold
204,50,copper
205,50,cobalt
206,51,silver
207,51,gold
208,51,copper
209,51,cobalt
210,52,silver
211,52,gold
212,52,copper
213,52,cobalt
214,53,silver
215,53,gold
216,53,copper
217,53,cobalt
218,54,silver
219,54,gold
220,54,copper
221,54,cobalt
222,55,silver
223,55,gold
224,55,copper
225,55,cobalt
226,56,zinc
227,56,lead
228,56,barite
229,56,silver
230,56,gold
231,56,copper
232,56,cobalt
233,57,cobalt
234,57,nickel
235,58,uranium
236,58,gold
237,58,copper
238,58,silver
239,58,zinc
240,58,nickel
241,58,cobalt
242,59,uranium
243,59,gold
244,59,copper
245,59,silver
246,59,zinc
247,59,nickel
248,59,cobalt
249,60,uranium
250,60,gold
251,60,copper
252,60,silver
253,60,zinc
254,60,nickel
255,60,cobalt
256,61,cobalt
257,61,zinc
258,61,silver
259,61,copper
260,61,gold
261,62,chromium
262,62,cobalt
263,62,nickel
264,63,chromium
265,63,cobalt
266,63,nickel
267,64,cobalt
268,64,nickel
269,65,cobalt
270,65,nickel
271,66,silver
272,66,gold
273,66,cobalt
274,66,sulfur
275,66,copper
276,66,iron
277,67,silver
278,67,gold
279,67,cobalt
280,67,sulfur
281,67,copper
282,67,iron
283,68,nickel
284,68,iron
285,68,chromium
286,68,cobalt
287,69,nickel
288,69,iron
289,69,chromium
290,69,cobalt
291,70,nickel
292,70,iron
293,70,chromium
294,70,cobalt
295,71,nickel
296,71,iron
297,71,chromium
298,71,cobalt
299,72,nickel
300,72,iron
301,72,chromium
302,72,cobalt
303,73,nickel
304,73,iron
305,73,chromium
306,73,cobalt
307,74,nickel
308,74,iron
309,74,chromium
310,74,cobalt
311,75,gold
312,75,silver
313,75,lead
314,75,zinc
315,75,iron
316,75,cobalt
317,75,copper
