loc_pt_othername_auto_id,loc_pt_id,other_name
1,1,"Bornite In-Pit"
2,2,"Ore Body 1"
3,2,"Upper & Lower Reef"
4,2,"Bornite Below-Pit"
5,15,"Gasquet Mountain"
6,15,"Gasquet Laterite"
7,17,Idaho
8,17,"Uncle Sam"
9,17,"St. Joe"
10,17,Northfield
11,17,Merle
12,17,Haynes-Stellite
13,17,Dandy
14,17,Chicago
15,17,"Brown Bear"
16,17,Blacktail
17,18,Blackbird
18,18,"Idaho Cobalt Project"
19,19,Blackbird
20,19,"East Sunshine"
21,19,"Idaho Cobalt Project"
22,24,"Copper Canyon"
23,26,"Crawford Pond"
24,26,Harriman
25,27,"Area 5"
26,32,"Duluth Complex"
27,33,"Duluth Complex"
28,33,Nokomis
29,34,"Duluth Complex"
30,34,Nokomis
31,35,"Duluth Complex"
32,36,"Duluth Complex"
33,36,"Teck's Mesaba"
34,36,Minnamax
35,36,Babbitt
36,49,"Strawberry Main"
37,49,"Upper Sulphide Zone"
38,50,"Strawberry Main"
39,50,"Lower Sulphide Zone"
40,51,"Strawberry East"
41,61,Mammoth
42,61,Turner-Albright
43,64,"Hanna Mine"
44,65,Riddle
45,65,Hanna
46,75,"Ducktown Basin"
