resource_id,site_id,ftr_id,material,rsrc_date,mat_type,mat_amnt,mat_units,grade,grade_unit,contained,cont_units,rsrc_class,rsrc_descr,rsrc_code,ref_detail,reference_id,remarks
1,AK00012,Mo00550,cobalt,2018,ore,124600000.000000,tonnes,0.017000,percent,45000000.000000,pounds,Inferred,Resource,CIM,"Page 2, Table 1",107,NULL
2,AK00012,Mo00550,copper,2016,ore,40500000.000000,tonnes,1.020000,percent,913000000.000000,pounds,Indicated,Resource,CIM,"Page 2, Table 2",107,NULL
3,AK00012,Mo00550,copper,2016,ore,84100000.000000,tonnes,0.950000,percent,1768000000.000000,pounds,Inferred,Resource,CIM,"Page 2, Table 2",107,NULL
4,AK00012,Mo00571,cobalt,2018,ore,-57800000.000000,tonnes,0.025000,percent,32000000.000000,pounds,Inferred,Resource,CIM,"Page 2, Table 1",107,NULL
5,AK00012,Mo00571,copper,1961,ore,21230000.000000,tons,3.040000,percent,645000.111000,tons,NULL,Resource,NULL,"Page 6-5, Table 6.2",31,NULL
6,AK00012,Mo00571,copper,2016,ore,-57800000.000000,tonnes,2.890000,percent,3683000000.000000,pounds,Inferred,Resource,CIM,"Page 2, Table 2",107,NULL
7,AK00205,-1111,nickel,1990,ore,-20000000.000000,tonnes,0.510000,percent,102000.111000,tonnes,NULL,Reserve,NULL,"Page 61",20,NULL
8,AK00205,-1111,copper,1990,ore,-20000000.000000,tonnes,0.270000,percent,54000.111000,tonnes,NULL,Reserve,NULL,"Page 61",20,NULL
9,AK00205,-1111,cobalt,1990,ore,-20000000.000000,tonnes,0.020000,percent,4000.111000,tonnes,NULL,Reserve,NULL,"Page 61",20,NULL
10,AK00205,Mo00729,nickel,1942,ore,-908000.000000,tons,0.320000,percent,2906.000000,"short tons",NULL,Unclassified,NULL,"Page 129",94,NULL
11,AK00205,Mo00729,copper,1942,ore,-908000.000000,tons,0.260000,percent,2361.000000,"short tons",NULL,Unclassified,NULL,"Page 129",94,NULL
12,AK00205,Mo00730,copper,1942,ore,-109000.000000,tons,0.330000,percent,360.000000,"short tons",NULL,Unclassified,NULL,"Page 129",94,NULL
13,AK00205,Mo00730,nickel,1942,ore,-109000.000000,tons,0.440000,percent,480.000000,"short tons",NULL,Unclassified,NULL,"Page 129",94,NULL
14,AK00205,Mo00731,nickel,1942,ore,-1386000.000000,tons,0.520000,percent,7207.000000,"short tons",NULL,Unclassified,NULL,"Page 129",94,NULL
15,AK00205,Mo00731,copper,1942,ore,-1386000.000000,tons,0.300000,percent,4158.000000,"short tons",NULL,Unclassified,NULL,"Page 129",94,NULL
16,AK00205,Mo00732,copper,1942,ore,-166000.000000,tons,0.210000,percent,349.000000,"short tons",NULL,Unclassified,NULL,"Page 129",94,NULL
17,AK00205,Mo00732,nickel,1942,ore,-166000.000000,tons,0.260000,percent,432.000000,"short tons",NULL,Unclassified,NULL,"Page 129",94,NULL
18,AK00205,Mo00733,nickel,1942,ore,-110000.000000,tons,0.390000,percent,429.000000,"short tons",NULL,Unclassified,NULL,"Page 129",94,NULL
19,AK00205,Mo00733,copper,1942,ore,-110000.000000,tons,0.350000,percent,385.000000,"short tons",NULL,Unclassified,NULL,"Page 129",94,NULL
20,AK00205,Mo00734,copper,1942,ore,-766000.000000,tons,0.250000,percent,1915.000000,"short tons",NULL,Unclassified,NULL,"Page 129",94,NULL
21,AK00205,Mo00734,nickel,1942,ore,-766000.000000,tons,0.230000,percent,1762.000000,"short tons",NULL,Unclassified,NULL,"Page 129",94,NULL
22,AK00205,Mo00735,copper,1942,ore,-91000.000000,tons,0.290000,percent,264.000000,"short tons",NULL,Unclassified,NULL,"Page 129",94,NULL
23,AK00205,Mo00735,nickel,1942,ore,-91000.000000,tons,0.320000,percent,291.000000,"short tons",NULL,Unclassified,NULL,"Page 129",94,NULL
24,AK00205,Mo00736,nickel,1942,ore,-2317000.000000,tons,0.310000,percent,7183.000000,"short tons",NULL,Unclassified,NULL,"Page 129",94,NULL
25,AK00205,Mo00736,copper,1942,ore,-2317000.000000,tons,0.250000,percent,5793.000000,"short tons",NULL,Unclassified,NULL,"Page 129",94,NULL
26,AK00207,Mo00737,copper,1995,ore,-91000000.000000,tonnes,0.300000,percent,273000.111000,tonnes,Proven,Reserve,NULL,"Page 60",20,NULL
27,AK00207,Mo00737,nickel,1995,ore,-91000000.000000,tonnes,0.500000,percent,455000.111000,tonnes,Proven,Reserve,NULL,"Page 60",20,NULL
28,AK00207,Mo00737,cobalt,1995,ore,-91000000.000000,tonnes,0.030000,percent,27300.111000,tonnes,Proven,Reserve,NULL,"Page 60",20,NULL
29,CA00070,Mo00761,nickel,1986,ore,-19232000.000000,tons,0.780000,percent,150010.111000,tons,Probable,Reserve,NULL,"Page 103",85,"Additional 5500000 tons inferred resource"
30,CA00070,Mo00761,cobalt,1986,ore,-19232000.000000,tons,0.062000,percent,11924.111000,tons,Probable,Reserve,NULL,"Page 103",85,"Additional 5500000 tons inferred resource"
31,CA00071,Mo00775,chromium,1985,ore,-16000000.000000,tons,2.000000,percent,320000.111000,tons,Proven,"Ore Reserve",NULL,"Page 171",110,NULL
32,CA00071,Mo00775,nickel,1985,ore,-16000000.000000,tons,0.750000,percent,120000.111000,tons,Proven,"Ore Reserve",NULL,"Page 171",110,NULL
33,CA00071,Mo00775,cobalt,1985,ore,-16000000.000000,tons,0.070000,percent,11000.111000,tons,Proven,"Ore Reserve",NULL,"Page 171",110,NULL
34,ID00005,Mo00628,cobalt,1977,ore,-6500000.000000,tons,0.550000,percent,36000.111000,tons,NULL,Reserve,NULL,"Page 190",56,"Based on Bennett (1977)"
35,ID00005,Mo00628,copper,1977,ore,-6500000.000000,tons,1.310000,percent,85000.111000,tons,NULL,Reserve,NULL,"Page 190",56,"Based on Bennett (1977)"
36,ID00050,-1111,gold,1998,ore,-2250400.000000,tons,0.014000,"ounces per ton",32000.111000,ounces,Inferred,"Mineral Resource",NULL,"Page 38, Table 6.1",43,NULL
37,ID00050,-1111,copper,1998,ore,-2250400.000000,tons,0.618000,percent,13900.111000,tons,Inferred,"Mineral Resource",NULL,"Page 38, Table 6.1",43,NULL
38,ID00050,-1111,cobalt,1998,ore,-2250400.000000,tons,0.459000,percent,10300.111000,tons,Inferred,"Mineral Resource",NULL,"Page 38, Table 6.1",43,NULL
39,ID00050,-1111,cobalt,1998,ore,-1116941.000000,tons,0.592000,percent,6610.111000,tons,"Measured plus Indicated","Mineral Resource",NULL,"Page 38, Table 6.1",43,NULL
40,ID00050,-1111,copper,1998,ore,-1116941.000000,tons,0.657000,percent,7340.111000,tons,"Measured plus Indicated","Mineral Resource",NULL,"Page 38, Table 6.1",43,NULL
41,ID00050,-1111,gold,1998,ore,-1116941.000000,tons,0.016000,"ounces per ton",18000.111000,ounces,"Measured plus Indicated","Mineral Resource",NULL,"Page 38, Table 6.1",43,NULL
42,ID00050,Mo00716,gold,2017,ore,-3662000.000000,tons,0.015000,"ounces per ton",53286.000000,ounces,"Proven plus Probable","Mineral Reserve",CIM,"Page 127, Table 15.2",43,NULL
43,ID00050,Mo00716,gold,2017,ore,-3436000.000000,tons,0.016000,"ounces per ton",54200.000000,ounces,"Measured plus Indicated","Mineral Resource",CIM,"Page 121, Table 14.11",43,NULL
44,ID00050,Mo00716,copper,2017,ore,-1543000.000000,tons,0.680000,percent,21032.000000,pounds,Inferred,"Mineral Resource",CIM,"Page 121, Table 14.11",43,NULL
45,ID00050,Mo00716,cobalt,2017,ore,-1543000.000000,tons,0.510000,percent,15594.000000,pounds,Inferred,"Mineral Resource",CIM,"Page 121, Table 14.11",43,NULL
46,ID00050,Mo00716,cobalt,2017,ore,-3662000.000000,tons,0.470000,percent,34517000.000000,pounds,"Proven plus Probable","Mineral Reserve",CIM,"Page 127, Table 15.2",43,NULL
47,ID00050,Mo00716,cobalt,2017,ore,-3436000.000000,tons,0.590000,percent,40578.000000,pounds,"Measured plus Indicated","Mineral Resource",CIM,"Page 121, Table 14.11",43,NULL
48,ID00050,Mo00716,gold,2017,ore,-1543000.000000,tons,0.012000,"ounces per ton",18700.000000,ounces,Inferred,"Mineral Resource",CIM,"Page 121, Table 14.11",43,NULL
49,ID00050,Mo00716,copper,2017,ore,-3662000.000000,tons,0.680000,percent,49756000.000000,pounds,"Proven plus Probable","Mineral Reserve",CIM,"Page 127, Table 15.2",43,NULL
50,ID00050,Mo00716,copper,2017,ore,-3436000.000000,tons,0.730000,percent,50436.000000,pounds,"Measured plus Indicated","Mineral Resource",CIM,"Page 121, Table 14.11",43,NULL
51,ID00050,Mo00717,cobalt,2006,ore,-260700.000000,tons,0.604000,percent,1570.111000,tons,"Measured plus Indicated",Resource,NULL,"Page 40, Table 6.4",43,NULL
52,ID00050,Mo00717,gold,2006,ore,-260700.000000,tons,0.013000,"ounces per ton",3400.111000,ounces,"Measured plus Indicated",Resource,NULL,"Page 40, Table 6.4",43,NULL
53,ID00050,Mo00717,copper,2006,ore,-260700.000000,tons,0.327000,percent,852.111000,tons,"Measured plus Indicated",Resource,NULL,"Page 40, Table 6.4",43,NULL
54,ID00051,Mo00751,copper,1983,ore,-1000000.000000,tons,0.300000,percent,3000.111000,tons,NULL,Reserve,NULL,"Page 16, Table 2",28,NULL
55,ID00051,Mo00751,cobalt,1983,ore,-1000000.000000,tons,0.610000,percent,6100.111000,tons,NULL,Reserve,NULL,"Page 16, Table 2",28,NULL
56,ID00051,Mo00751,cobalt,1972,ore,-32100000.000000,tons,0.170000,percent,54600.111000,tons,NULL,Reserve,NULL,"Page 16, Table 2",28,NULL
57,ID00051,Mo00751,copper,1972,ore,-32100000.000000,tons,1.050000,percent,337000.111000,tons,NULL,Reserve,NULL,"Page 16, Table 2",28,NULL
58,ID00052,Mo00738,copper,1979,ore,-1270000.000000,tons,1.300000,percent,16500.111000,tons,Probable,"Geologic Resource",NULL,"Page 121",56,"Resource from Behre Dolbear and Co (1979)"
59,ID00052,Mo00738,cobalt,1979,ore,-1270000.000000,tons,0.200000,percent,2540.111000,tons,Probable,"Geologic Resource",NULL,"Page 121",56,"Resource from Behre Dolbear and Co (1979)"
60,ID00052,Mo00738,silver,1979,ore,-1270000.000000,tons,0.300000,"ounces per ton",381000.111000,ounces,Probable,"Geologic Resource",NULL,"Page 121",56,"Resource from Behre Dolbear and Co (1979)"
61,ID00052,Mo00738,gold,1979,ore,-1270000.000000,tons,0.015000,"ounces per ton",19000.111000,ounces,Probable,"Geologic Resource",NULL,"Page 121",56,"Resource from Behre Dolbear and Co (1979)"
62,ME00002,Mo00770,nickel,1984,ore,-9000000.000000,"metric tons",0.910000,percent,82000.111000,"metric tons",Probable,"In Situ Resource",NULL,"Pages 8-10",19,NULL
63,ME00002,Mo00770,copper,1984,ore,-9000000.000000,"metric tons",0.450000,percent,41000.111000,"metric tons",Probable,"In Situ Resource",NULL,"Pages 8-10",19,NULL
64,ME00002,Mo00770,cobalt,1984,ore,-9000000.000000,"metric tons",0.040000,percent,3600.111000,"metric tons",Probable,"In Situ Resource",NULL,"Pages 8-10",19,NULL
65,ME00003,Mo00771,copper,1992,ore,-2982800.000000,"metric tons",0.690000,percent,20580.111000,"metric tons",Indicated,"Drill-Indicated Resource",NULL,"Page 46",45,"Reserve estimates audited by Roscoe Postle Associates Inc."
66,ME00003,Mo00771,cobalt,1992,ore,-2982800.000000,"metric tons",0.120000,percent,3580.111000,"metric tons",Probable,"Drill-Indicated Resource",NULL,"Page 46",45,"Reserve estimates audited by Roscoe Postle Associates Inc."
67,ME00003,Mo00771,nickel,1992,ore,-2982800.000000,"metric tons",1.490000,percent,44400.111000,"metric tons",Indicated,"Drill-Indicated Resource",NULL,"Page 46",45,"Reserve estimates audited by Roscoe Postle Associates Inc."
68,MI00001,Mo00362,nickel,2017,ore,-1235000.000000,tonnes,3.000000,percent,37000.000000,tonnes,Proven,"Mineral Reserve",NULL,"Mineral Reserves Table",70,NULL
69,MI00001,Mo00362,palladium,2016,ore,-1129000.000000,tonnes,0.500000,"grams per tonne",20000.000000,ounces,Proven,"Mineral Reserve",CIM,"Page 15-2, Table 15-1",22,NULL
70,MI00001,Mo00362,cobalt,2017,ore,-1748000.000000,tonnes,0.100000,percent,1000.000000,tonnes,Indicated,"Mineral Resource",NULL,"Mineral Resources Table",70,NULL
71,MI00001,Mo00362,copper,2017,ore,-77000.000000,tonnes,0.900000,percent,1000.000000,tonnes,Inferred,"Mineral Resource",NULL,"Mineral Resources Table",70,NULL
72,MI00001,Mo00362,cobalt,2017,ore,-1408000.000000,tonnes,0.100000,percent,1000.000000,tonnes,Measured,"Mineral Resource",NULL,"Mineral Resources Table",70,NULL
73,MI00001,Mo00362,platinum,2016,ore,-2146000.000000,tonnes,0.500000,"grams per tonne",30000.000000,ounces,Indicated,"Mineral Resource",CIM,"Page 14-2, Table 14-1",22,NULL
74,MI00001,Mo00362,nickel,2017,ore,-1408000.000000,tonnes,3.400000,percent,48000.000000,tonnes,Measured,"Mineral Resource",NULL,"Mineral Resources Table",70,NULL
75,MI00001,Mo00362,copper,2017,ore,-1748000.000000,tonnes,2.200000,percent,38000.000000,tonnes,Indicated,"Mineral Resource",NULL,"Mineral Resources Table",70,NULL
76,MI00001,Mo00362,cobalt,2017,ore,-1235000.000000,tonnes,0.100000,percent,1000.000000,tonnes,Proven,"Mineral Reserve",NULL,"Mineral Reserves Table",70,NULL
77,MI00001,Mo00362,nickel,2017,ore,-77000.000000,tonnes,1.000000,percent,1000.000000,tonnes,Inferred,"Mineral Resource",NULL,"Mineral Resources Table",70,NULL
78,MI00001,Mo00362,gold,2017,ore,-1235000.000000,tonnes,0.300000,"grams per tonne",370000.111000,grams,Proven,"Mineral Reserve",NULL,"Mineral Reserves Table",70,NULL
79,MI00001,Mo00362,palladium,2016,ore,-44000.000000,tonnes,0.200000,"grams per tonne",8800.111000,grams,Inferred,"Mineral Resource",CIM,"Page 14-2, Table 14-1",22,NULL
80,MI00001,Mo00362,platinum,2016,ore,-44000.000000,tonnes,0.300000,"grams per tonne",13000.111000,grams,Inferred,"Mineral Resource",CIM,"Page 14-2, Table 14-1",22,NULL
81,MI00001,Mo00362,platinum,2016,ore,-1198000.000000,tonnes,0.900000,"grams per tonne",30000.000000,ounces,Measured,"Mineral Resource",CIM,"Page 14-2, Table 14-1",22,NULL
82,MI00001,Mo00362,palladium,2016,ore,-2148000.000000,tonnes,0.200000,"grams per tonne",20000.000000,ounces,Probable,"Mineral Reserve",CIM,"Page 15-2, Table 15-1",22,NULL
83,MI00001,Mo00362,gold,2017,ore,-1955000.000000,tonnes,0.200000,"grams per tonne",390000.111000,grams,Probable,"Mineral Reserve",NULL,"Mineral Reserves Table",70,NULL
84,MI00001,Mo00362,palladium,2016,ore,-1198000.000000,tonnes,0.600000,"grams per tonne",20000.000000,ounces,Measured,"Mineral Resource",CIM,"Page 14-2, Table 14-1",22,NULL
85,MI00001,Mo00362,nickel,2017,ore,-1955000.000000,tonnes,1.800000,percent,36000.000000,tonnes,Probable,"Mineral Reserve",NULL,"Mineral Reserves Table",70,NULL
86,MI00001,Mo00362,nickel,2017,ore,-1748000.000000,tonnes,2.400000,percent,43000.000000,tonnes,Indicated,"Mineral Resource",NULL,"Mineral Resources Table",70,NULL
87,MI00001,Mo00362,gold,2017,ore,-1748000.000000,tonnes,0.200000,"grams per tonne",350000.111000,grams,Indicated,"Mineral Resource",NULL,"Mineral Resources Table",70,NULL
88,MI00001,Mo00362,gold,2017,ore,-77000.000000,tonnes,0.100000,"grams per tonne",7700.111000,grams,Inferred,"Mineral Resource",NULL,"Mineral Resources Table",70,NULL
89,MI00001,Mo00362,platinum,2016,ore,-2148000.000000,tonnes,0.400000,"grams per tonne",30000.000000,ounces,Probable,"Mineral Reserve",CIM,"Page 15-2, Table 15-1",22,NULL
90,MI00001,Mo00362,gold,2017,ore,-1408000.000000,tonnes,0.300000,"grams per tonne",420000.111000,grams,Measured,"Mineral Resource",NULL,"Mineral Resources Table",70,NULL
91,MI00001,Mo00362,copper,2017,ore,-1235000.000000,tonnes,2.500000,percent,31000.000000,tonnes,Proven,"Mineral Reserve",NULL,"Mineral Reserves Table",70,NULL
92,MI00001,Mo00362,copper,2017,ore,-1955000.000000,tonnes,1.700000,percent,33000.000000,tonnes,Probable,"Mineral Reserve",NULL,"Mineral Reserves Table",70,NULL
93,MI00001,Mo00362,palladium,2016,ore,-2146000.000000,tonnes,0.300000,"grams per tonne",20000.000000,ounces,Indicated,"Mineral Resource",CIM,"Page 14-2, Table 14-1",22,NULL
94,MI00001,Mo00362,copper,2017,ore,-1408000.000000,tonnes,2.800000,percent,40000.000000,tonnes,Measured,"Mineral Resource",NULL,"Mineral Resources Table",70,NULL
95,MI00001,Mo00362,cobalt,2017,ore,-1955000.000000,tonnes,0.100000,percent,1000.000000,tonnes,Probable,"Mineral Reserve",NULL,"Mineral Reserves Table",70,NULL
96,MI00001,Mo00362,platinum,2016,ore,-1129000.000000,tonnes,0.700000,"grams per tonne",30000.000000,ounces,Proven,"Mineral Reserve",CIM,"Page 15-2, Table 15-1",22,NULL
97,MI00001,Mo00363,copper,2016,ore,-290000.000000,tonnes,1.400000,percent,4100.000000,tonnes,Inferred,"Mineral Resource",CIM,"Page 14-2, Table 14-1",22,NULL
98,MI00001,Mo00363,cobalt,2016,ore,-1544000.000000,tonnes,0.100000,percent,1500.000000,tonnes,Probable,"Mineral Reserve",CIM,"Page 15-2, Table 15-1",22,NULL
99,MI00001,Mo00363,cobalt,2016,ore,-1293000.000000,tonnes,0.100000,percent,1300.000000,tonnes,Indicated,"Mineral Resource",CIM,"Page 14-2, Table 14-1",22,NULL
100,MI00001,Mo00363,platinum,2016,ore,-290000.000000,tonnes,0.500000,"grams per tonne",150000.111000,grams,Inferred,"Mineral Resource",CIM,"Page 14-2, Table 14-1",22,NULL
101,MI00001,Mo00363,silver,2016,ore,-290000.000000,tonnes,6.000000,"grams per tonne",60000.000000,ounces,Inferred,"Mineral Resource",CIM,"Page 14-2, Table 14-1",22,NULL
102,MI00001,Mo00363,palladium,2016,ore,-290000.000000,tonnes,0.300000,"grams per tonne",87000.111000,grams,Inferred,"Mineral Resource",CIM,"Page 14-2, Table 14-1",22,NULL
103,MI00001,Mo00363,silver,2016,ore,-1544000.000000,tonnes,10.600000,"grams per tonne",40000.000000,ounces,Probable,"Mineral Reserve",CIM,"Page 15-2, Table 15-1",22,NULL
104,MI00001,Mo00363,gold,2016,ore,-290000.000000,tonnes,0.200000,"grams per tonne",58000.111000,grams,Inferred,"Mineral Resource",CIM,"Page 14-2, Table 14-1",22,NULL
