site_commodity_auto_id,site_id,commodity
1,AK00012,cobalt
2,AK00012,copper
3,AK00017,copper
4,AK00017,cobalt
5,AK00205,copper
6,AK00205,nickel
7,AK00205,cobalt
8,AK00206,copper
9,AK00206,nickel
10,AK00206,cobalt
11,AK00207,copper
12,AK00207,nickel
13,AK00207,cobalt
14,CA00070,nickel
15,CA00070,cobalt
16,CA00071,chromium
17,CA00071,nickel
18,CA00071,cobalt
19,ID00005,silver
20,ID00005,gold
21,ID00005,copper
22,ID00005,cobalt
23,ID00050,copper
24,ID00050,gold
25,ID00050,cobalt
26,ID00051,iron
27,ID00051,cobalt
28,ID00051,copper
29,ID00052,silver
30,ID00052,gold
31,ID00052,cobalt
32,ID00052,copper
33,ID00054,iron
34,ID00054,silver
35,ID00054,gold
36,ID00054,cobalt
37,ID00054,copper
38,ME00002,copper
39,ME00002,nickel
40,ME00002,cobalt
41,ME00003,nickel
42,ME00003,cobalt
43,MI00001,palladium
44,MI00001,platinum
45,MI00001,silver
46,MI00001,gold
47,MI00001,cobalt
48,MI00001,copper
49,MI00001,nickel
50,MN00002,silver
51,MN00002,cobalt
52,MN00002,gold
53,MN00002,palladium
54,MN00002,platinum
55,MN00002,nickel
56,MN00002,copper
57,MN00003,cobalt
58,MN00003,silver
59,MN00003,gold
60,MN00003,palladium
61,MN00003,platinum
62,MN00003,nickel
63,MN00003,copper
64,MN00008,gold
65,MN00008,palladium
66,MN00008,platinum
67,MN00008,cobalt
68,MN00008,copper
69,MN00008,nickel
70,MO00001,silver
71,MO00001,iron
72,MO00001,"nickel cobalt"
73,MO00001,copper
74,MO00001,lead
75,MO00002,lead
76,MO00002,zinc
77,MO00002,copper
78,MO00002,nickel
79,MO00002,cobalt
80,MO00013,silver
81,MO00013,iron
82,MO00013,"nickel cobalt"
83,MO00013,copper
84,MO00013,lead
85,MO00014,iron
86,MO00014,cobalt
87,MO00014,copper
88,MT00002,silver
89,MT00002,gold
90,MT00002,copper
91,MT00002,cobalt
92,MT00029,silver
93,MT00029,gold
94,MT00029,copper
95,MT00029,cobalt
96,NC00001,cobalt
97,NC00001,nickel
98,NM00041,uranium
99,NM00041,gold
100,NM00041,copper
101,NM00041,silver
102,NM00041,zinc
103,NM00041,nickel
104,NM00041,cobalt
105,NM00042,uranium
106,NM00042,gold
107,NM00042,copper
108,NM00042,silver
109,NM00042,zinc
110,NM00042,nickel
111,NM00042,cobalt
112,OR00001,cobalt
113,OR00001,zinc
114,OR00001,silver
115,OR00001,copper
116,OR00001,gold
117,OR00002,chromium
118,OR00002,cobalt
119,OR00002,nickel
120,OR00005,nickel
121,OR00005,cobalt
122,PA00001,silver
123,PA00001,gold
124,PA00001,cobalt
125,PA00001,sulfur
126,PA00001,copper
127,PA00001,iron
128,PR00001,nickel
129,PR00001,iron
130,PR00001,chromium
131,PR00001,cobalt
132,PR00002,nickel
133,PR00002,iron
134,PR00002,chromium
135,PR00002,cobalt
136,PR00003,nickel
137,PR00003,iron
138,PR00003,chromium
139,PR00003,cobalt
140,PR00004,nickel
141,PR00004,iron
142,PR00004,chromium
143,PR00004,cobalt
144,PR00005,nickel
145,PR00005,iron
146,PR00005,chromium
147,PR00005,cobalt
148,TN00001,gold
149,TN00001,silver
150,TN00001,lead
151,TN00001,zinc
152,TN00001,iron
153,TN00001,cobalt
154,TN00001,copper
