site_dataavail_auto_id,site_id,loc_pt,loc_poly,geol_min_occ,resources,production,history,dep_model,descr_sum
1,AK00012,1,1,1,1,0,1,1,1
2,AK00017,1,1,0,0,0,0,0,0
3,AK00205,1,1,1,1,0,1,1,1
4,AK00206,1,1,0,0,0,0,0,0
5,AK00207,1,0,1,1,0,1,1,1
6,CA00070,1,1,1,1,0,1,1,1
7,CA00071,1,0,1,1,0,1,1,1
8,ID00005,1,0,1,1,1,1,1,1
9,ID00050,1,1,1,1,0,1,1,1
10,ID00051,1,1,1,1,0,1,1,1
11,ID00052,1,0,1,1,0,1,1,1
12,ID00054,1,1,0,0,0,0,0,0
13,ME00002,1,0,1,1,0,1,1,1
14,ME00003,1,0,1,1,0,1,1,1
15,MI00001,1,1,1,1,1,1,1,1
16,MN00002,1,1,1,1,0,1,1,1
17,MN00003,1,1,1,1,0,1,1,1
18,MN00008,1,0,1,1,0,1,1,1
19,MO00001,1,1,0,0,0,0,0,0
20,MO00002,1,1,1,1,0,1,1,1
21,MO00013,1,0,1,1,1,1,1,1
22,MO00014,1,0,1,1,0,1,1,1
23,MT00002,1,1,1,1,0,1,1,1
24,MT00029,1,1,0,0,0,0,0,0
25,NC00001,1,0,1,1,0,0,1,1
26,NM00041,1,1,1,1,0,1,1,1
27,NM00042,1,1,0,0,1,1,0,1
28,OR00001,1,1,1,1,0,1,1,1
29,OR00002,1,1,1,1,0,1,1,1
30,OR00005,1,1,1,1,1,1,1,1
31,PA00001,1,1,1,0,1,1,1,1
32,PR00001,1,1,1,1,0,0,1,0
33,PR00002,1,1,1,1,0,0,1,0
34,PR00003,1,1,1,1,0,0,1,0
35,PR00004,1,1,1,1,0,0,1,0
36,PR00005,1,1,1,1,0,0,1,0
37,TN00001,1,1,1,1,0,1,1,1
