site_feature_auto_id,site_id,ftr_id,ftr_name,last_updt,dep_model_id,geo_env_id,remarks
1,AK00012,Mo00550,"Ruby Creek Zone",6/12/2018,NULL,NULL,NULL
2,AK00012,Mo00571,"South Reef Zone",6/12/2018,NULL,NULL,NULL
3,AK00205,Mo00729,"West Tripod Body",4/16/2018,NULL,NULL,NULL
4,AK00205,Mo00730,"East Tripod Body",4/16/2018,NULL,NULL,NULL
5,AK00205,Mo00731,"Tunnel Body",4/16/2018,NULL,NULL,NULL
6,AK00205,Mo00732,"Side Hill Body",4/16/2018,NULL,NULL,NULL
7,AK00205,Mo00733,"North Muskeg Body",4/16/2018,NULL,NULL,NULL
8,AK00205,Mo00734,"South Muskeg Body",4/16/2018,NULL,NULL,NULL
9,AK00205,Mo00735,"North Takanis Body",4/16/2018,NULL,NULL,NULL
10,AK00205,Mo00736,"South Takanis Body",4/16/2018,NULL,NULL,NULL
11,AK00207,Mo00737,"Brady Glacier",4/16/2018,NULL,NULL,NULL
12,CA00070,Mo00761,"Pine Flat",4/23/2018,NULL,NULL,NULL
13,CA00071,Mo00775,Gasquet,6/22/2018,NULL,NULL,NULL
14,ID00005,Mo00628,Blackbird,5/8/2018,NULL,NULL,NULL
15,ID00005,Mo00628,Blackbird,5/8/2018,NULL,NULL,NULL
16,ID00005,Mo00628,Blackbird,5/8/2018,NULL,NULL,NULL
17,ID00050,Mo00716,Ram,5/8/2018,NULL,NULL,NULL
18,ID00050,Mo00716,Ram,5/8/2018,NULL,NULL,NULL
19,ID00050,Mo00716,Ram,5/8/2018,NULL,NULL,NULL
20,ID00050,Mo00717,Sunshine,5/8/2018,NULL,NULL,NULL
21,ID00050,Mo00717,Sunshine,5/8/2018,NULL,NULL,NULL
22,ID00050,Mo00717,Sunshine,5/8/2018,NULL,NULL,NULL
23,ID00051,Mo00751,"No Name Zone",5/8/2018,NULL,NULL,NULL
24,ID00051,Mo00751,"No Name Zone",5/8/2018,NULL,NULL,NULL
25,ID00051,Mo00751,"No Name Zone",5/8/2018,NULL,NULL,NULL
26,ID00052,Mo00738,"Salmon Canyon",4/16/2018,NULL,NULL,NULL
27,ME00002,Mo00770,Union,5/11/2018,NULL,NULL,NULL
28,ME00003,Mo00771,Warren,5/11/2018,NULL,NULL,NULL
29,MI00001,Mo00362,Eagle,4/4/2018,NULL,NULL,NULL
30,MI00001,Mo00363,"Eagle East",4/4/2018,NULL,NULL,NULL
31,MN00002,Mo00746,NorthMet,4/16/2018,NULL,NULL,NULL
32,MN00003,Mo00719,"Birch Lake",4/13/2018,NULL,NULL,NULL
33,MN00003,Mo00720,"Maturi Southwest",4/13/2018,NULL,NULL,NULL
34,MN00003,Mo00721,Maturi,4/13/2018,NULL,NULL,NULL
35,MN00003,Mo00722,"Spruce Road",4/13/2018,NULL,NULL,NULL
36,MN00008,Mo00739,"164 Zone",4/16/2018,NULL,NULL,NULL
37,MN00008,Mo00740,"138 Zone",4/16/2018,NULL,NULL,NULL
38,MN00008,Mo00741,"SMSU Zone",4/16/2018,NULL,NULL,NULL
39,MN00008,Mo00742,"MSU Zone",4/16/2018,NULL,NULL,NULL
40,MN00008,Mo00743,"CGO Bend Zone",4/16/2018,NULL,NULL,NULL
41,MN00008,Mo00744,"480 Zone",4/16/2018,NULL,NULL,NULL
42,MN00008,Mo00745,"221 Zone",4/16/2018,NULL,NULL,NULL
43,MO00002,Mo00774,Higdon,6/22/2018,NULL,NULL,NULL
44,MO00013,Mo00559,Madison,5/10/2018,NULL,NULL,NULL
45,MO00014,Mo00560,Boss-Bixby,5/10/2018,NULL,NULL,NULL
46,MT00002,Mo00754,"Johnny Lee Upper Zone",4/20/2018,NULL,NULL,NULL
47,MT00002,Mo00755,"Johnny Lee Lower Zone",4/20/2018,NULL,NULL,NULL
48,MT00002,Mo00756,"Lowry Middle Zone",4/20/2018,NULL,NULL,NULL
49,NC00001,Mr00047,"Webster District",5/14/2018,NULL,NULL,NULL
50,NM00041,Mo00773,"Black Hawk ",5/11/2018,NULL,NULL,NULL
51,OR00001,Mo00748,Turner,4/18/2018,NULL,NULL,NULL
52,OR00002,Mo00561,"Eight Dollar Mountain",5/10/2018,NULL,NULL,NULL
53,OR00005,Mo00767,"Nickel Mountain",4/27/2018,NULL,NULL,NULL
54,PA00001,Mo00749,Cornwall,4/18/2018,NULL,NULL,NULL
55,PR00001,Mo00629,Guanajibo,7/17/2018,NULL,NULL,NULL
56,PR00002,Mo00630,"Punta Guanajibo",7/17/2018,NULL,NULL,NULL
57,PR00003,Mo00631,"Las Mesas",7/17/2018,NULL,NULL,NULL
58,PR00004,Mo00632,"North deposit",7/17/2018,NULL,NULL,NULL
59,PR00004,Mo00633,"South deposit",7/17/2018,NULL,NULL,NULL
60,PR00005,Mo00634,"West deposit",7/17/2018,NULL,NULL,NULL
61,PR00005,Mo00635,"East deposit",7/17/2018,NULL,NULL,NULL
62,TN00001,Mr00037,"Ducktown District",5/11/2018,NULL,NULL,NULL
